"Source","Location","Name","Value","LastWriteTime"
"StartupFolder","C:\Users\mydyi\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup","desktop.ini","C:\Users\mydyi\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini","9/6/2025 1:57:52 PM"
"StartupFolder","C:\Users\mydyi\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup","Ollama.lnk","C:\Users\mydyi\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\Ollama.lnk","4/7/2026 9:00:10 AM"
"StartupFolder","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup","desktop.ini","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini","4/1/2024 3:24:04 AM"
"Registry","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Docker Desktop","C:\Program Files\Docker\Docker\Docker Desktop.exe",
"Registry","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","GoogleChromeAutoLaunch_F9432FFBDE470BFF17CA5AE109BCEB5E","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --no-startup-window /prefetch:5",
"Registry","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","MicrosoftEdgeAutoLaunch_8B1E533668A6DF0A92BA541B96447D44","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start",
"Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","SecurityHealth","C:\WINDOWS\system32\SecurityHealthSystray.exe",
"Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","msedge_cleanup_{F3017226-FE2A-4295-8BDF-00C3A9A7E4C5}","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\Installer\setup.exe"" --msedgewebview --delete-old-versions --system-level --verbose-logging --on-logon",
