Family,FilesWithFunctions,Functions
cortexos,210,2563
clearbox,150,2374
compucog,317,2335
wolf_engine,238,2291
arc_solver,107,867
misc,45,484
reaper,16,390
engine,31,347
agent,5,52
reasoning,3,18
